user_address,provided_liquidity_amount,unliquidity_stake_amount
0xb0D202791ba6ef2e5e2AAD9dFA7b0Bbc542AB095, 3803.0199821415456034, 0
0x9eC8E8F64EC6bB47d944B4b830130B5fCf2Da182, 2448.141799727692563, 0
0xc5E259fbc68D9014B23c17F25bd2A5C763A08264, 1471.8596183030796013, 0
0xb2ceb04874FcE4cEfd38C751C8ed7b88D2185c4d, 1098.9885149996327689, 0
0xC4AA614b06310805d6dFd4393402cCb844a4223c, 961.241167955227203, 0
0xdb97aa9B0C07254Ef9E017641f5da271E5C31f35, 774.6165913390168487, 0
0xb8A7dE41a8D28952a4d253F22C4786C6Cd65122F, 605.2545553331834538, 458.2535359978727931
0xa788C59880F31d6a9c3511A8064286682b01756b, 345.1182872955408856, 3.5267633940130052
0x0EB4ADD4bA497357546DA7F5D12D39587cA24606, 335.6276529791463404, 0
0xa6b6fB6a424f4d107fbdd6F3BCA610B568cCB2EA, 306.1468006070405571, 0
0xfe568f98dF64e7B49050FfE810D9f78952bb4f92, 304.1843211159697843, 0
0xBc87E6A5b4a454B05f6BDf4BB05586b9149C2aA7, 255.1461998334035, 0
0x190E7C0403a5DD4bD21d426D88b76b1d513D39B1, 252.4191820597628743, 76.8169281434032166
0x96a3ba33255a96634E98D108cc111DDC87376d7a, 246.3529659423968717, 0
0x729Ea64B1393eD633C069aF04b45e1212905b4A9, 245.3099363838466002, 0
0xa9562e29f82abd50f1da6068fAfcc3b5025E522E, 245.2424532732925604, 0
0x8A16718aCa875d59e348B4D276cC5ECBEDe68B22, 244.4714987306624046, 6.5011775716129073
0x38e65E030B9B7aCf5Fe9072272516C04cC8a8560, 226.7846704205345128, 0
0xAFa6F70D5d47f7E339B6F33478aAB32646eb09cB, 196.2004879564308101, 0
0xe7275240C52FC4316277547655C73C10529D345a, 190.1316951402594256, 0
0xE243436E3d7e070e8E5110E997b11d0c9525896f, 185.8024299335162463, 0.2563468457883885
0x347c5D1CE235F341065390039921621D70639d55, 184.6091809542189552, 355.1877904246198073
0x9F24dE85F8A687BDe08756EC64E2B74f198Ca9bA, 156.2961085521722064, 0.7022507334896177
0x59128ea834e424698Bc45f12c60BeABaB7e51747, 154.9750178948300183, 0
0x6325246e88510D64DBdF10ca77095F06C5cA8735, 149.1820399242910869, 0
0xe67e43b831A541c5Fa40DE52aB0aFbE311514E64, 146.3431982867261338, 0.7019529512837562
0x024E4FB5632cd32499ce60Fe5D892F202E1840C6, 132.3206585288458489, 0
0xB1dB096De2A713DBb6950Dff2EaFB76521881863, 123.0877083512971525, 0
0x687672ef80be21e5938abc4Ad3B423687773AF0a, 120.6415233241711313, 0
0x74f91d657A5E2Dd1F8Bf446180Be84dA3A8c4Fb3, 119.7112489553171409, 0
0x40c2541FF113Df5D865C9c7c9a4a2170ca926620, 119.3970097707710368, 0
0x3e900021b5CAd91350F082405d24a395A2C0c76F, 118.4056309723790001, 0.1607514697786335
