user_address,provided_liquidity_amount
0xb0D202791ba6ef2e5e2AAD9dFA7b0Bbc542AB095,3821.3543727512601622
0xc5E259fbc68D9014B23c17F25bd2A5C763A08264,1482.8860140611893478
0xb2ceb04874FcE4cEfd38C751C8ed7b88D2185c4d,1115.8467680755314042
0xdb97aa9B0C07254Ef9E017641f5da271E5C31f35,782.8896494640380619
0xC4AA614b06310805d6dFd4393402cCb844a4223c,472.3846286017921151
0x0EB4ADD4bA497357546DA7F5D12D39587cA24606,434.3304080116967597
0x2AE829024B799046152e39FA6BB45A38B3D8b130,333.5441707305277093
0xa6b6fB6a424f4d107fbdd6F3BCA610B568cCB2EA,307.638761613021145
0xfe568f98dF64e7B49050FfE810D9f78952bb4f92,306.4869743536795408
0x40c2541FF113Df5D865C9c7c9a4a2170ca926620,278.6963646112477948
0xBc87E6A5b4a454B05f6BDf4BB05586b9149C2aA7,257.0053349847805183
0x96a3ba33255a96634E98D108cc111DDC87376d7a,247.7804759335247304
0x729Ea64B1393eD633C069aF04b45e1212905b4A9,247.0564886925484062
0xa9562e29f82abd50f1da6068fAfcc3b5025E522E,246.5500175478631131
0x38e65E030B9B7aCf5Fe9072272516C04cC8a8560,227.4851411776661159
0x8d69A355117c12A74A15d58Bfb1303E6C110d518,197.5860614285170642
0x9F24dE85F8A687BDe08756EC64E2B74f198Ca9bA,156.2961085521722064
0x59128ea834e424698Bc45f12c60BeABaB7e51747,155.9235458297473445
0xfD6231A29661100e9F7E68d37730b040E24caD28,153.2151817947073742
0x6325246e88510D64DBdF10ca77095F06C5cA8735,149.1862876420250885
0x024E4FB5632cd32499ce60Fe5D892F202E1840C6,130.453701803297304
0xB1dB096De2A713DBb6950Dff2EaFB76521881863,124.8744120060243744
0x687672ef80be21e5938abc4Ad3B423687773AF0a,121.5148056768260965
0x74f91d657A5E2Dd1F8Bf446180Be84dA3A8c4Fb3,120.6183418640517041
0x166B6770f7513ee4BE7a88f7C8d250E5E8BCbfAF,118.6409919974279056
0xbf49b14a9936d1a6245A43c33BBB50f8648643a0,108.917763571927036
0xc98030E227F89DE8021AF1F828D3739a2390c317,106.4128013397813854
0x8eaFC7959f0ad0724460c0ed72622cc6762dE485,101.8225425687528717
